11740 MATH043.05; PRECALC III: ADVANCED TOPICS; Lund, Lance M.; MTWR 1000-1215; L65
01049 ARTS010A01; THREE DIMENSIONAL DESIGN; Ohtake, Motosuke; MTW 0830-1220; A71
01038 THEA020A01; THEORY/TECHN ACTING (INTRO); Stimson, Elizabeth E.; MTW 1300-1650; G3
01015 THEA001.01; APPREC OF THEATRE; Gutmann, Todd; MW 0900-1250; G3
01003 SPCH015.01; CRTCL DCSN MKNG IN GRPS; Hamilton, David A.; TWR 1000-1225; L43
01001 SPCH010.61; FUND OF ORAL COMMUNICATN; Lee, Peter P.; TR 1800-2150; L49
00999 SPCH010.06; FUND OF ORAL COMMUNICATN; Gray, Joyce A.; WR 1230-1455; L81
00997 SPCH010.04; FUND OF ORAL COMMUNICATN; Hong, Russell A.; TWR 1000-1225; L81
00996 SPCH010.03; FUND OF ORAL COMMUNICATN; Lee, Marie E.; TWR 1000-1225; L48
00995 SPCH010.01; FUND OF ORAL COMMUNICATN; Lee, Marie E.; TWR 0730-0955; L48
00994 SPCH008.01; ARGUMENT/CRIT INQRY ORAL COM; Kramer, Alexander P.; TWR 1000-1225; L49
00990 SPCH007.01; INTERCULTURAL COMMUN; Cole, Constance H.; TWR 1000-1225; MCC-12
00987 SPCH001.61; PUBLIC SPEAKING; Lee, Peter P.; MW 1800-2150; L49
00985 SPCH001.11; PUBLIC SPEAKING; Ahern, James M.; MW 1500-1850; L45
00984 SPCH001.10; PUBLIC SPEAKING; Gainer, Brandon T.; TWR 1500-1725; L49
00983 SPCH001.09; PUBLIC SPEAKING; Kaur, Shagundeep; WR 1230-1455; L28
00982 SPCH001.08; PUBLIC SPEAKING; Cano, Royce M.; TWR 1000-1225; L32
00981 SPCH001.07; PUBLIC SPEAKING; Gainer, Brandon T.; TWR 1230-1455; L49
00979 SPCH001.05; PUBLIC SPEAKING; Cano, Royce M.; TWR 1500-1725; L48
00978 SPCH001.04; PUBLIC SPEAKING; Kaur, Shagundeep; WR 1000-1225; L45
00976 SPCH001.01; PUBLIC SPEAKING; Hamilton, David A.; TWR 0730-0955; L45
00970 SPAN003.01; ELEMEN SPANISH (3RD QTR); Mancilla, Jeffrey A.; MTWR 1000-1215; L66
00967 SPAN002.01; ELEMEN SPANISH (2ND QTR); Ramos, Carmen M.; MTWR 1000-1215; MQ-2
00964 SPAN001.01; ELEMEN SPANISH (1ST QTR); Abrica-Carrasco, Ruben; MTWR 0730-0945; MCC-12
00963 SPAN001.02; ELEMEN SPANISH (1ST QTR); Ramos, Carmen M.; MTWR 1230-1445; MQ-2
00957 SOC 001.61Z; INTRO TO SOCIOLOGY; Tapia, Maristella H.; TBA -; ONLINE
00956 SOC 001.65Z; INTRO TO SOCIOLOGY; Tapia, Maristella H.; BA -; ONLINE
00954 SOC 001.04; INTRO TO SOCIOLOGY; Dehaan, Tracy J.; MTW 1230-1455; MLC110
00931 READ211.61; DEVEL READNG; Benavides, Marta M.; MTWR 1730-1945; L31
00930 READ211.14; DEVEL READNG; James, Jennifer J.; MTWR 1230-1445; L31
00929 READ211.13; DEVEL READNG; Argyriou, Anne X.; MTWR 1000-1215; L63
00928 READ211.11; DEVEL READNG; Benavides, Marta M.; MTWR 0730-0945; L31
00924 PSYC064.55; PSYCHOLOGY INTERNSHIP; Healy, Mark C.; TBA -; TBA
00923 PSYC014.61Z; DEVLPMNTL ASPECTS OF PSY; Hurkmans, Linda M.; TBA -; ONLINE
00921 PSYC014.01; DEVLPMNTL ASPECTS OF PSY; Buettner, David A.; TWR 1230-1455; L27
00920 PSYC010H61; CHLD GROWTH/DEV:MID CHLDH/ADOL; Sun, Li W.; TR 1800-2150; G10
00919 PSYC010G01; CHLD DEV:EARLY YRS; Wilkie, Zana L.; TWR 0730-0955; G10
00918 PSYC008.02; INTRO TO SOC PSYCHOLOGY; Beckum, Laquisha D.; TWR 1230-1455; MLC270
00917 PSYC008.01; INTRO TO SOC PSYCHOLOGY; Beckum, Laquisha D.; TWR 1000-1225; MLC270
00915 PSYC004.61Z; ABNORMAL PSYCHOLOGY; Ramskov, Charles; TBA -; ONLINE
00914 PSYC004.61; ABNORMAL PSYCHOLOGY; Hoyman, Lisa C.; TWR 1800-2025; MLC105
00913 PSYC004.01; ABNORMAL PSYCHOLOGY; Buettner, David A.; TWR 1000-1225; FOR4
00911 PSYC001.61; GENERAL PSYCHOLOGY; Clifford Jr, James O.; TWR 1800-2025; ADM119
00910 PSYC001.03; GENERAL PSYCHOLOGY; Avera, Joshua W.; TWR 1230-1455; FOR4
00909 PSYC001.02; GENERAL PSYCHOLOGY; Healy, Mark C.; TWR 1000-1225; FOR1
00908 PSYC001.01; GENERAL PSYCHOLOGY; Firpo, Catherine; TWR 0730-0955; L27
00904 POLI001.65Z; AMERICAN GOVT & POLITICS; Yuen, Nicholas G.; TBA -; ONLINE
00902 POLI001.61Z; AMERICAN GOVT & POLITICS; Yuen, Nicholas G.; TBA -; ONLINE
00901 POLI001.07; AMERICAN GOVT & POLITICS; Caserta, Dominic J.; TWR 1500-1725; MLC111
00900 POLI001.05; AMERICAN GOVT & POLITICS; Tarikh, Ishmael P.; TWR 1230-1455; ADM119
00897 POLI001.03; AMERICAN GOVT & POLITICS; Nguyen, James V.; TWR 1000-1225; ADM101
00896 POLI001.01; AMERICAN GOVT & POLITICS; Tully, David W.; TWR 0730-0955; ADM101
00895 PHYS050.01; PREP PHYSICS; Luna, Eduardo F.; TWR 1000-1225; S35
00894 PHYS010.01; CONCEPTS OF PHYSICS; Sheridan, Lana S.; MTWR 1730-1945; S32
00890 PHTG007.01; EXPLORNG VISUL EXPRESSN; Castano, Wilfred Q.; MW 0830-1220; VPA132
00889 PHTG001.01; BASIC PHOTOGRAPHY; Castano, Wilfred Q.; MW 1300-1450; A65
00888 PHIL004.61; CRITICAL THINKING; Hammerud, Richard G.; MW 1800-2150; L26
00887 PHIL004.03; CRITICAL THINKING; Hanson, Anthony L.; TWR 1230-1455; MLC111
00886 PHIL003.01; CRIT THINKNG & WRITNG; Baiamonte, Nicholas M.; TWR 1500-1810; FOR1
00885 PHIL002.02; SOCIAL AND POLITICAL PHILOSOPH; Baiamonte, Nicholas M.; TWR 1230-1455; FOR1
00883 PHIL001.01; KNOWLEDGE AND REALITY; Ramirez, Antonio J.; WR 1000-1225; MLC111
00880 PEA 005.05; ADPTD AQUATIC EXERCISE; Beggs, Thomas W.; MW 1120-1220; POOLE
00879 PEA 005.04; ADPTD AQUATIC EXERCISE; Beggs, Thomas W.; MW 1010-1110; POOLE
00878 PEA 005.03; ADPTD AQUATIC EXERCISE; Beggs, Thomas W.; TR 1120-1220; POOLE
00877 PEA 005.02; ADPTD AQUATIC EXERCISE; Beggs, Thomas W.; TR 1010-1110; POOLE
00874 PEA 004.02; ADAPTD CARDIOVSCLR TRAING; Bennett, Mary F.; MW 0900-1000; PE13
00873 PEA 002X61; ADAPTD STRNGTH DEVEL; Perkins, Nathan; MW 1700-1905; PE13
00872 PEA 002.05; ADAPTD STRNGTH DEVEL; Bennett, Mary F.; MW 1300-1400; PE13
00871 PEA 002.04; ADAPTD STRNGTH DEVEL; Bennett, Mary F.; MW 1010-1110; PE13
00869 PEA 002.02; ADAPTD STRNGTH DEVEL; Perkins, Nathan; TR 1140-1240; PE13
00868 PEA 002.01; ADAPTD STRNGTH DEVEL; Bennett, Mary F.; TR 0900-1000; PE13
00867 PEA 001X61; ADAPTD TOTL FITNESS; Dominguez, Michael P.; TR 1700-1905; PE13
00864 PEA 001.05; ADAPTD TOTL FITNESS; Bennett, Mary F.; MW 1410-1510; PE13
00862 PEA 001.04; ADAPTD TOTL FITNESS; Bennett, Mary F.; MW 1120-1220; PE13
00860 PEA 001.03; ADAPTD TOTL FITNESS; Haynes, Ruth E.; TR 1510-1610; PE13
00859 PEA 001.02F; ADAPTD TOTL FITNESS; Beggs, Thomas W.; MW 0900-1000; CUPSC
00858 PEA 001.02; ADAPTD TOTL FITNESS; Perkins, Nathan; TR 1250-1350; PE13
00857 PEA 001.01F; ADAPTD TOTL FITNESS; Haynes, Ruth E.; TR 0900-1000; SUNSC
00856 PEA 001.01; ADAPTD TOTL FITNESS; Bennett, Mary F.; TR 1010-1110; PE13
00831 P E 071.03; LFTME WELLNS/FTNS CTR LAB; Von Matt, Danielle M.; TBA -; PE610
00829 P E 071.01; LFTME WELLNS/FTNS CTR LAB; Damjanovic, Jason C.; TBA -; PE610
00828 P E 070A61Z; ORIENT LIFTME FITNESS; Von Matt, Danielle M.; TBA -; ONLINE
00825 P E 070A01; ORIENT LIFTME FITNESS; Damjanovic, Jason C.; MW 1400-1540; PE673
00803 P E 030.01; INTRO TO PHYS EDUC/KINESIOLOGY; Owiesny, Cheryl L.; MTWR 1000-1150; PE673
00800 P E 026D02; ADV SWIMMING; Roesky, Richard D.; TR 1000-1150; POOLM
00798 P E 026C02; INTERM SWIMMING; Roesky, Richard D.; TR 1000-1150; POOLW
00796 P E 026B62; BEGINNG SWIMMING; May, Christian R.; TR 2000-2150; POOLE
00794 P E 026A61; NOVICE SWIMMING; May, Christian R.; MW 2000-2150; POOLE
00772 P E 011.01; STRETCHING; Roesky, Richard D.; TR 1200-1350; PE14
00770 P E 009.62; CARDIO/STRENGTH TRAIN; Damjanovic, Jason C.; MW 1800-1950; PE610
00768 P E 008.61; TOTAL FITNESS; Damjanovic, Jason C.; MW 1800-1950; PE610
00766 P E 006V01; CORE CONDITIONING; Pacheco, Rachel L.; TR 0800-0950; PE15
00765 P E 006U01; FIT CAMP; Pacheco, Rachel L.; MW 0600-0650; PE21W
00757 P E 006G01; AEROBIC SWIMMING; Roesky, Richard D.; TR 1000-1150; POOLM
00749 P E 002Y62; HATHA YOGA; Simons, Kelly; TR 2000-2150; PE15
00748 P E 002Y03; HATHA YOGA; May, Christian R.; MW 1600-1750; PE15
00747 P E 002Y02; HATHA YOGA; May, Christian R.; MW 1200-1350; PE14
00743 P E 002P01; BASIC PILATES MAT EXERCISE; Ghiasvand, Farzaneh; TR 1400-1550; PE15
00736 NUTR010.61Z; CONTEMP NUTRITION; Liechty, Barbara D.; TBA -; ONLINE
00730 MUSI013B01; BEGINNING SINGING II; Bandermann, Billie R.; MTW 1000-1200; A31
00729 MUSI013A01; BEGINNING SINGING I; Bandermann, Billie R.; MTW 1000-1200; A31
00726 MUSI012B01; CLASS PIANO II; Hicks, Gail E.; TR 0900-1150; A29
00723 MUSI012A01; CLASS PIANO I; Hicks, Gail E.; TR 0900-1150; A29
00721 MUSI001A61Z; INTRO TO MUSIC: WESTRN CULTURE; Tayerle, Loren R.; TBA -; ONLINE
00720 MUSI001A01; INTRO TO MUSIC: WESTRN CULTURE; Thomsen, John D.; TR 0830-1220; A11
00714 MATH212.61; COLLEGE MATH PREP:BEG. ALG.; Murphy, Travis J.; MTWR 1730-1945; MLC112
00712 MATH212.06; COLLEGE MATH PREP:BEG. ALG.; Le, Huong Q.; MTWR 1500-1715; E31
00710 MATH212.03; COLLEGE MATH PREP:BEG. ALG.; Judson, Zachary J.; MTWR 1000-1215; MLC108
00709 MATH210.61; MATH PREP LEVEL 1:PRE-ALGEBRA; Ghori, Abdul A.; MTWR 1730-1945; G7
00708 MATH210.05; MATH PREP LEVEL 1:PRE-ALGEBRA; Legge, Victor M.; MTWR 1230-1445; MLC109
00707 MATH210.01; MATH PREP LEVEL 1:PRE-ALGEBRA; Gonzalez, Antonio; MTWR 0730-0945; MLC103
00705 MATH114.61; MATH PREP LEVEL 3:INT.ALG.; Rudolf, Howard; MTWR 1730-1945; MLC109
00703 MATH114.07; MATH PREP LEVEL 3:INT.ALG.; Phelps, Andrew R.; MTWR 1500-1715; G5
00702 MATH114.06; MATH PREP LEVEL 3:INT.ALG.; Sundaresan, Revathi S.; MTWR 1230-1445; G7
00700 MATH114.04; MATH PREP LEVEL 3:INT.ALG.; Ison, Millia C.; MTWR 1000-1050; S45
00699 MATH114.03; MATH PREP LEVEL 3:INT.ALG.; Gonzalez, Antonio; MTWR 1000-1215; MLC109
00698 MATH114.01; MATH PREP LEVEL 3:INT.ALG.; Sundaresan, Revathi S.; MTWR 0730-0945; MLC109
00686 MATH022.03; DISCRETE MATHEMATICS; Njinimbam, Edwin N.; MTWR 1000-1215; S46
00685 MATH012.61; INTRO CALC FOR BUS AND SOC SCI; Shah, Hemendra K.; MTWR 1730-1945; E33
00684 MATH011.63; FINITE MATHEMATICS; Hansen, Joel W.; MTWR 1730-1945; S45
00679 MATH010.65Z; ELEM STATS/PROBABILITY; Markus, Lisa R.; TBA -; ONLINE
00677 MATH010.61Z; ELEM STATS/PROBABILITY; Markus, Lisa R.; TBA -; ONLINE
00676 MATH010.05; ELEM STATS/PROBABILITY; Mesh, Lisa K.; MTWR 1230-1445; E31
00675 MATH010.07; ELEM STATS/PROBABILITY; Mesh, Lisa K.; MTWR 1500-1715; S46
00673 MATH010.03; ELEM STATS/PROBABILITY; Geraghty, Maurice A.; MTR 1000-1215; S16
00671 MATH010.01; ELEM STATS/PROBABILITY; Geraghty, Maurice A.; MTR 0730-0945; S16
00670 MATH010.02; ELEM STATS/PROBABILITY; Sadeghi-Hassanvand, Bijan; MTWR 0730-0945; S54
00668 MATH002B01; LINEAR ALGEBRA; Kryliouk, Iaroslav; MTWR 1000-1215; E32
00667 MATH002A03; DIFFERENTIAL EQUATIONS; Shi, Kejian; MTWR 0730-0945; G7
00666 MATH001D61; CALCULUS; Du, Jianbo; TWR 1730-1945; S46
00665 MATH001D03; CALCULUS; Bourgoub, Hassan M.; MWR 0730-0945; E36
00664 MATH001C61; CALCULUS; Nguyen, Duc Q.; MTWR 1730-1945; E36
00663 MATH001C01; CALCULUS; Klein, Charles S.; MTWR 0730-0945; E33
00661 MATH001B07; CALCULUS; Mailhot, James M.; MTWR 1500-1715; E36
00660 MATH001B05; CALCULUS; Mailhot, James M.; MTWR 1230-1445; E36
00659 MATH001B03; CALCULUS; Mosh, Farshod; MTWR 1000-1215; E31
00658 MATH001A61; CALCULUS; Le, Huong Q.; MTWR 1730-1945; E31
00656 MATH001A07; CALCULUS; Tran, Danny; TWR 1500-1715; S54
00655 MATH001A03; CALCULUS; Bourgoub, Hassan M.; MWR 1000-1215; E36
00613 JOUR002.61Z; MASS COMM & IMPACT ON SO; Dada, Farideh; TBA -; ONLINE
00612 JOUR002.01; MASS COMM & IMPACT ON SO; Malatesta, Sunny J.; TWR 1000-1225; L42
00605 INTL010.01; HISTORY OF ART (ARTS OF ASIA); Lee, So Kam N.; TWR 1000-1225; MCC-10
00595 ICS 020.01; ASIAN AMERCN EXPER IN HISTORY; Choi, Soo H.; TWR 1000-1225; MLC113
00593 ICS 011.61Z; ROOTS AFRIC/AMER EXPER; Brown, Tamika M.; TBA -; ONLINE
00587 ICS 007.01; INTERCULTURAL COMMUN; Cole, Constance H.; WR 1000-1225; MCC-12
00585 ICS 005.01; HIST OF ART/MULTICULTRL; Olsen, Nancy H.; TWR 1230-1455; MCC-10
00568 HUMI001.02; CREATIVE MINDS; Mischke, John K.; TWR 1000-1225; G4
00567 HUMA020.FY; LIFE SKLS/HIGHR EDUC; Aragon, Erick G.; TWR 1030-1255; MCC-13
00565 HUMA020.SK; LIFE SKLS/HIGHR EDUC; Morales, Jorge A.; TWR 1030-1255; L64
00563 HTEC185.55F; CLINIC CHEM PRACTICUM; Buchner, Patricia A.; TBA -; TBA
00557 HTEC073.01; MEDICL LAW & ETHICS; Powers, Roberta R.; MW 1430-1720; S74
00556 HTEC068.55F; MEDICL RECEPT EXTRNSHP; Miramontes, Maureen I.; TBA -; CLNIC
00555 HTEC060G01; ADV MEDICAL TERMINOLOGY; Powers, Roberta R.; MW 1030-1220; S74
00554 HTEC060A01; BASIC MEDI TERMINOLOGY; Miramontes, Maureen I.; TR 1230-1520; S74
00551 HTEC050.01; INTRO HEALTH TECHNOLOGIES; Atwood, Kathryn M.; MR 1730-1920; SC1102
00549 HLTH021.61Z; CONTEMP HLTH CONCERNS; Liechty, Barbara D.; TBA -; ONLINE
00546 HIST017C61; HIST U.S. 1900- PRESENT; Marder, Patrick I.; TWR 1800-2025; ADM101
00543 HIST017A61Z; HIST U.S. TO ERLY NATNL ERA; Howard-Pitney, David; TBA -; ONLINE
00538 HIST003C02; WORLD HISTORY; Kline, Ben E.; TWR 1230-1455; MCC-17
00537 HIST003B01; WORLD HISTORY; Kline, Ben E.; TWR 1000-1225; L26
00534 HIST003A01; WORLD HISTORY; Knittel, Gregory L.; TWR 1000-1225; MCC-17
00530 GEOL010.01; INTRODUCTORY GEOLOGY; Dileonardo, Christopher G.; MTWR 0900-1050; S15
00518 F/TV020.01; BASIC DIGTL FLM/VIDEO PROD; Irwin, Dennis E.; TR 1330-1645; AT107
00515 F/TV001.01; INTRO TO FILM; Vizcarrondo, Sara M.; TR 0900-1250; AT120
00503 EWRT211.61; PREPARATORY WRITING SKILLS; Diehl, Mary C.; MTWR 1730-1945; LCW26
00501 EWRT211.18; PREPARATORY WRITING SKILLS; Bejarin, Vivian E.; MTWR 1230-1445; S41
00500 EWRT211.17; PREPARATORY WRITING SKILLS; Roscher, Jennifer L.; MTWR 1230-1445; LCW26
00499 EWRT211.16; PREPARATORY WRITING SKILLS; Lewis, Anna N.; MTWR 1000-1215; ADM103
00498 EWRT211.15; PREPARATORY WRITING SKILLS; Anderson, Rene D.; MTWR 1000-1215; L62
00497 EWRT211.14; PREPARATORY WRITING SKILLS; Bejarin, Vivian E.; MTWR 1000-1215; S41
00496 EWRT211.13; PREPARATORY WRITING SKILLS; Roscher, Jennifer L.; MTWR 1000-1215; LCW26
00495 EWRT211.12; PREPARATORY WRITING SKILLS; Lewis, Anna N.; MTWR 0730-0945; S72
00492 EWRT030.01Y; INTRO CREATIVE WRITING; Weisner, Kenneth R.; TR 1230-1455; L42
00490 EWRT002.61Z; CRIT READ, WRIT & THINK; Hearn, Lydia C.; BA -; ONLINE
00484 EWRT002.01; CRIT READ, WRIT & THINK; Brennan, Raymond J.; MTWR 0730-0945; G9
00480 EWRT001B04; READNG, WRTNG & RESRCH; Pelletier, Joshua M.; MTWR 1230-1445; L48
00475 EWRT001B03; READNG, WRTNG & RESRCH; Lewis, Brian A.; MTWR 1000-1215; MLC255
00473 EWRT001B02Y; READNG, WRTNG & RESRCH; Lisha, Sarah F.; TR 1000-1215; L82
00472 EWRT001B01Y; READNG, WRTNG & RESRCH; Lisha, Sarah F.; W 1000-1215; L82
00467 EWRT001A61Z; COMPOSITION AND READING; Coronado, Marc; TBA -; ONLINE
00466 EWRT001A61Y; COMPOSITION AND READING; Palmore, Kim J.; MW 1730-1945; SEM2
00465 EWRT001A09; COMPOSITION AND READING; Arefi Anbarani, Azin; MTWR 1230-1445; L82
00459 EWRT001A08; COMPOSITION AND READING; Quinn, Roseanne L.; MTWR 1230-1445; S49
00458 EWRT001A07; COMPOSITION AND READING; Dickson, Ryan C.; MTWR 1000-1215; E25
00457 EWRT001A06; COMPOSITION AND READING; Wilson, Jimmie C.; MTWR 1000-1215; S49
00456 EWRT001A05; COMPOSITION AND READING; Arefi Anbarani, Azin; MTWR 1000-1215; E24
00455 EWRT001A04Y; COMPOSITION AND READING; Leonard, Amy E.; R 1000-1215; L46
00454 EWRT001A02; COMPOSITION AND READING; Dickson, Ryan C.; MTWR 0730-0945; L46
00452 EWRT001A01; COMPOSITION AND READING; Wilson, Jimmie C.; MTWR 0730-0945; S49
00450 ESL 273.02; INTRO TO THE ESSAY; Newman, Cheri L.; MTWR 1500-1715; L33
00449 ESL 273.01; INTRO TO THE ESSAY; Cabral, Lucinda V.; MTWR 0730-0945; L34
00448 ESL 272.61; ADV READNG & VOCAB; Goodwin, Mary Ellen; MTWR 1800-2015; G9
00447 ESL 272.02; ADV READNG & VOCAB; Newman, Cheri L.; MTWR 1230-1445; L33
00446 ESL 272.01; ADV READNG & VOCAB; Chacko, Achamma A.; MTWR 0730-0945; L33
00445 ESL 263.61; LOW ADV GRAMMAR/WRITING; Marchiano, Michelle P.; MW 1800-2150; L34
00444 ESL 263.03; LOW ADV GRAMMAR/WRITING; Hamilton, Webster M.; TWR 1230-1455; L47
00443 ESL 263.02; LOW ADV GRAMMAR/WRITING; Barasch-Kane, Nancy; TWR 1000-1225; AT103
00440 ESL 262.61; LOW ADVANCED READING; Collato, Lisa; MW 1800-2050; L35
00439 ESL 262.02; LOW ADVANCED READING; Wong, Letty; WR 1230-1420; L61
00438 ESL 262.01; LOW ADVANCED READING; Hamilton, Webster M.; TWR 1000-1150; MQ-2A
00437 ESL 261.61; LOW ADV LISTENING/SPEAKG; Goksel-Demir, Ebru; TR 1800-2050; L34
00436 ESL 261.02; LOW ADV LISTENING/SPEAKG; Norman, Craig S.; TWR 1230-1420; MQ-2A
00435 ESL 261.01; LOW ADV LISTENING/SPEAKG; Lombardi, Amy J.; TWR 1000-1150; L35
00434 ESL 252.61; HIGH INTERMED. READING; Cooper, Susan M.; TR 1800-2050; L33
00433 ESL 252.03; HIGH INTERMED. READING; Dubarry, Michele A.; TWR 1230-1420; ECOT-1
00432 ESL 252.02; HIGH INTERMED. READING; Wong, Letty; TWR 1000-1150; G2
00431 ESL 251.61; HGH INTER LISTNG/SPEAKNG; Cooper, Susan M.; MW 1800-2050; L43
00430 ESL 251.03; HGH INTER LISTNG/SPEAKNG; Yee, Linda C.; TWR 1230-1420; S71
00429 ESL 251.02; HGH INTER LISTNG/SPEAKNG; Yee, Linda C.; TWR 1000-1150; ECOT-1
00428 ESL 244.02; INTER ESL; Topalovic, Jasmina; MTWR 1230-1600; G2
00427 ESL 244.01; INTER ESL; Betlach, Marcy D.; MTWR 1230-1600; L63
00426 ESL 234.01; LOW INTERM ESL; Ormeno, Valerie L.; TWR 1230-1600; L35
00421 ESL 005.01; ESL:ADV COMP/READNG; Cabral, Lucinda V.; MTWR 1000-1215; L34
00420 ESL 005.02; ESL:ADV COMP/READNG; Carrell, Tanya K.; MTWR 1230-1445; L34
00414 ESCI019.61; ENVIRON BIOLOGY; Voelkel, Sharene R.; MTWR 1530-1720; KC115
00400 ECON002.61Z; PRIN MICROECONOMICS; Uy-Barreta, Don J.; TBA -; ONLINE
00399 ECON002.61; PRIN MICROECONOMICS; Zill, Stephen; TWR 1800-2025; S56
00398 ECON002.05; PRIN MICROECONOMICS; Brady, John M.; TWR 1500-1725; S55
00397 ECON002.04; PRIN MICROECONOMICS; Seshadri, Triyakshana; TWR 1230-1455; L26
00396 ECON002.02; PRIN MICROECONOMICS; Singh, Ravjeet; TWR 1000-1225; S55
00395 ECON002.01; PRIN MICROECONOMICS; Thomas, Monika I.; TWR 0730-0955; S56
00394 ECON001.63; PRIN MACROECONOMICS; Lang, Ghislaine; TWR 2030-2255; S56
00392 ECON001.61; PRIN MACROECONOMICS; Blohm, Stephen W.; TWR 1800-2025; S55
00391 ECON001.04; PRIN MACROECONOMICS; Malek, Ninos P.; TWR 1230-1455; S56
00390 ECON001.05; PRIN MACROECONOMICS; Zill, Stephen; TWR 1500-1725; S56
00388 ECON001.02; PRIN MACROECONOMICS; Thomas, Monika I.; TWR 1000-1225; S56
00362 E S 001.01; INTRO ENVIRON STDS; De Toro, Alicia K.; MTWR 1300-1450; KC113
00361 DANC038A01; APPREC OF DANCE; Lucas, Warren R.; MTW 1230-1455; A11
00238 CIS 089A01Y; WEB PAGE DEVELOPMENT; So, Hann R.; MTWR 1000-1150; AT205
00234 CIS 035A61Z; JAVA PRGRMNG AS SECOND LANGUAG; Singh, Sukhjit; TBA -; ONLINE
00233 CIS 035A01Y; JAVA PRGRMNG AS SECOND LANGUAG; Moussalem, Mounjed R.; MTWR 1230-1420; AT312
00227 CIS 003.61Z; BUSINESS INFO SYSTEMS; Dundurs, Karina G.; TBA -; ONLINE
00223 CHEM050.02; PREP FOR GENRL CHEMISTRY; Subramaniam, Ramachandran; MTWR 1000-1150; S32
00222 CHEM050.01; PREP FOR GENRL CHEMISTRY; Subramaniam, Ramachandran; MTWR 1000-1150; S32
00218 CHEM012C01; ORGANIC CHEMISTRY; Gray, David H.; MTWR 1030-1145; SC2210
00215 CHEM001C61; GEN CHEM/QUAL ANALYSIS; Lo, Billie F.; MTWR 1800-1915; SC2208
00214 CHEM001C01; GEN CHEM/QUAL ANALYSIS; Cihonski, John L.; TWR 1030-1145; SC2208
00213 CHEM001B61; GENERAL CHEMISTRY; Liu, Yue; MTWR 1800-1915; SC2204
00211 CHEM001A61; GENERAL CHEMISTRY; Cantin, Lucas P.; TWR 1800-1915; SC2202
00210 CHEM001A02; GENERAL CHEMISTRY; Zlatogorov, Elena; MTWR 1500-1615; MLC112
00209 CHEM001A01; GENERAL CHEMISTRY; Muzzi, Cinzia M.; MTWR 1030-1145; SC2202
00129 C D 061.61; MUSIC/MVMT(DEVEL FOUNDATNS); Driscoll, Barbara K.; MW 1800-2050; CD2-28
00125 C D 012.61; CHILD/FAM/COMM INTERLATN; Zarghami, Fatemeh S.; TR 1800-2150; CD1-10
00123 C D 010H61; CHLD GROWTH/DEV:MID CHLDH/ADOL; Sun, Li W.; TR 1800-2150; G10
00122 C D 010G01; CHLD DEV:EARLY YRS; Wilkie, Zana L.; TWR 0730-0955; G10
00105 BUS 090.61Z; PRIN MARKETING; Garbe, Emily K.; TBA -; ONLINE
00100 BUS 018.61Z; BUSINESS LAW I; Gough, Walter M.; TBA -; ONLINE
00099 BUS 018.01; BUSINESS LAW I; Goularte, Ronald A.; MTWR 1000-1215; ADM102
00097 BUS 010.03; INTRO TO BUSINESS; Brien, Richard H.; MTWR 1230-1445; ADM102
00096 BUS 010.02; INTRO TO BUSINESS; Niedermier, Gary L.; MTWR 0730-0945; FOR3
00095 BUS 010.01; INTRO TO BUSINESS; Niedermier, Gary L.; MTWR 1000-1215; FOR3
00084 BIOL011.01; HUMAN BIOLOGY; Johnson, Robert K.; MTWR 1230-1420; S34
00083 BIOL010.02; INTRO BIOLOGY; Lee, Terence; MTWR 1030-1220; MLC103
00082 BIOL010.01; INTRO BIOLOGY; Lee, Terence; MTWR 1030-1220; MLC103
00079 BIOL006C01; ECOLOGY AND EVOLUTION; Heyer, Bruce W.; MTWR 0930-1120; SC2108
00077 AUTO066.61; AUTO AIR CONDITIONING; Bryant, Robert R.; MW 1800-2215; E12C
00074 AUTO060K61; AUTO BODY ELECTRICAL SYSTEMS; Maynard, Richard A.; TR 1800-2215; E12F
00073 AUTO050B61; APPLIED AUTO PRINCIPLES; O'Brien, Forrest J.; TR 1800-2150; E12A
00072 AUTO050B01; APPLIED AUTO PRINCIPLES; Wishart, William M.; TR 0900-1250; E12A
00071 AUTO050A61; INTRO AUTO PRINCIPLES; Brandt, Michael L.; MW 1800-2150; E12A
00069 ASTR004.62; SOLAR SYSTEM ASTRONOMY; Harrington, Sherwood; MTWR 1800-2015; PLT
00068 ASTR004.01; SOLAR SYSTEM ASTRONOMY; Peterson, Eric R.; MTWR 1230-1445; PLT
00052 ARTS004A02; BEG DRAWING; Briggs, Marcia E.; MTW 1230-1620; A94
00051 ARTS004A01; BEG DRAWING; Marquez, Marco A.;  TWR-0830; 1220
00050 ARTS002G01; HISTORY OF ART (ARTS OF ASIA); Lee, So Kam N.; TWR 1000-1225; MCC-10
00049 ARTS002F01; HIST OF ART/MULTICULTRL; Olsen, Nancy H.; TWR 1230-1455; MCC-10
00043 ARTS001A01; INTRO TO VISUAL ARTS; Roehl, Paul S.; MW 0830-1220; A11
00036 ANTH002.61Z; CULTURAL ANTHROPOLOGY; Berry, Leslie A.; TBA -; ONLINE
00035 ANTH002.04; CULTURAL ANTHROPOLOGY; Roque, Angel; TWR 1500-1725; L24
00034 ANTH002.02; CULTURAL ANTHROPOLOGY; Roque, Angel; TWR 1000-1225; L24
